irradiation date,cell line,radiation type,sample_id,dose,image_nr,nuclei,micronuclei
03JUN2022,A549,xray,1,4,17,0,0
03JUN2022,A549,xray,1,4,17,2,0
03JUN2022,A549,xray,1,4,16,3,0
03JUN2022,A549,xray,1,4,16,2,0
03JUN2022,A549,xray,1,4,5,2,0
03JUN2022,A549,xray,1,4,5,0,1
03JUN2022,A549,xray,1,4,5,0,0
03JUN2022,A549,xray,1,4,5,2,0
03JUN2022,A549,xray,1,4,5,0,0
03JUN2022,A549,xray,1,4,5,1,0
03JUN2022,A549,xray,1,4,4,0,0
03JUN2022,A549,xray,1,4,4,1,0
03JUN2022,A549,xray,1,4,23,2,0
03JUN2022,A549,xray,1,4,23,2,0
03JUN2022,A549,xray,1,4,23,2,0
03JUN2022,A549,xray,1,4,23,2,0
03JUN2022,A549,xray,1,4,23,2,0
03JUN2022,A549,xray,1,4,23,2,0
03JUN2022,A549,xray,1,4,23,5,0
03JUN2022,A549,xray,1,4,23,2,0
03JUN2022,A549,xray,1,4,23,1,0
03JUN2022,A549,xray,1,4,23,1,0
03JUN2022,A549,xray,1,4,23,1,1
03JUN2022,A549,xray,1,4,23,2,0
03JUN2022,A549,xray,1,4,23,1,0
03JUN2022,A549,xray,1,4,22,1,0
03JUN2022,A549,xray,1,4,22,2,0
03JUN2022,A549,xray,1,4,22,2,0
03JUN2022,A549,xray,1,4,22,3,1
03JUN2022,A549,xray,1,4,22,2,0
03JUN2022,A549,xray,1,4,22,1,0
03JUN2022,A549,xray,1,4,22,1,0
03JUN2022,A549,xray,1,4,10,1,0
03JUN2022,A549,xray,1,4,10,1,0
03JUN2022,A549,xray,1,4,10,0,0
03JUN2022,A549,xray,1,4,11,0,3
03JUN2022,A549,xray,1,4,11,2,0
03JUN2022,A549,xray,1,4,11,1,0
03JUN2022,A549,xray,1,4,11,2,0
03JUN2022,A549,xray,1,4,11,1,0
03JUN2022,A549,xray,1,4,11,2,0
03JUN2022,A549,xray,1,4,11,2,0
03JUN2022,A549,xray,1,4,8,3,0
03JUN2022,A549,xray,1,4,8,2,0
03JUN2022,A549,xray,1,4,8,1,0
03JUN2022,A549,xray,1,4,8,0,2
03JUN2022,A549,xray,1,4,9,1,0
03JUN2022,A549,xray,1,4,9,0,0
03JUN2022,A549,xray,1,4,2,1,0
03JUN2022,A549,xray,1,4,2,2,2
03JUN2022,A549,xray,1,4,2,0,0
03JUN2022,A549,xray,1,4,2,1,1
03JUN2022,A549,xray,1,4,2,1,0
03JUN2022,A549,xray,1,4,2,1,0
03JUN2022,A549,xray,1,4,2,1,1
03JUN2022,A549,xray,1,4,2,1,0
03JUN2022,A549,xray,1,4,2,1,0
03JUN2022,A549,xray,1,4,3,3,3
03JUN2022,A549,xray,1,4,3,2,0
03JUN2022,A549,xray,1,4,3,2,0
03JUN2022,A549,xray,1,4,3,2,1
03JUN2022,A549,xray,1,4,24,0,2
03JUN2022,A549,xray,1,4,24,2,0
03JUN2022,A549,xray,1,4,24,3,0
03JUN2022,A549,xray,1,4,24,2,0
03JUN2022,A549,xray,1,4,24,1,1
03JUN2022,A549,xray,1,4,24,1,0
03JUN2022,A549,xray,1,4,24,1,1
03JUN2022,A549,xray,1,4,24,1,0
03JUN2022,A549,xray,1,4,24,1,0
03JUN2022,A549,xray,1,4,24,2,0
03JUN2022,A549,xray,1,4,24,2,0
03JUN2022,A549,xray,1,4,24,1,0
03JUN2022,A549,xray,1,4,24,1,0
03JUN2022,A549,xray,1,4,25,2,0
03JUN2022,A549,xray,1,4,25,4,0
03JUN2022,A549,xray,1,4,25,2,0
03JUN2022,A549,xray,1,4,25,1,0
03JUN2022,A549,xray,1,4,25,1,0
03JUN2022,A549,xray,1,4,25,2,1
03JUN2022,A549,xray,1,4,25,2,0
03JUN2022,A549,xray,1,4,25,1,0
03JUN2022,A549,xray,1,4,6,0,0
03JUN2022,A549,xray,1,4,6,2,2
03JUN2022,A549,xray,1,4,6,2,0
03JUN2022,A549,xray,1,4,6,1,0
03JUN2022,A549,xray,1,4,6,4,0
03JUN2022,A549,xray,1,4,6,2,1
03JUN2022,A549,xray,1,4,6,1,0
03JUN2022,A549,xray,1,4,6,1,0
03JUN2022,A549,xray,1,4,6,3,0
03JUN2022,A549,xray,1,4,6,2,0
03JUN2022,A549,xray,1,4,6,1,0
03JUN2022,A549,xray,1,4,7,1,1
03JUN2022,A549,xray,1,4,7,2,0
03JUN2022,A549,xray,1,4,7,1,2
03JUN2022,A549,xray,1,4,7,1,0
