irradiation date,cell line,radiation type,sample_id,dose,position,image_nr,nuclei,micronuclei
05MAY2022,MOC2,proton,3,4.01,5,5,3,0
05MAY2022,MOC2,proton,3,4.01,5,5,2,2
05MAY2022,MOC2,proton,3,4.01,5,5,1,2
05MAY2022,MOC2,proton,3,4.01,5,5,2,3
05MAY2022,MOC2,proton,3,4.01,5,5,1,1
05MAY2022,MOC2,proton,3,4.01,5,5,1,1
05MAY2022,MOC2,proton,3,4.01,5,5,1,2
05MAY2022,MOC2,proton,3,4.01,5,5,1,2
05MAY2022,MOC2,proton,3,4.01,5,5,1,0
05MAY2022,MOC2,proton,3,4.01,5,5,0,3
05MAY2022,MOC2,proton,3,4.01,5,5,1,1
05MAY2022,MOC2,proton,3,4.01,5,5,1,1
05MAY2022,MOC2,proton,3,4.01,5,5,2,1
05MAY2022,MOC2,proton,3,4.01,5,5,1,0
05MAY2022,MOC2,proton,3,4.01,5,4,3,1
05MAY2022,MOC2,proton,3,4.01,5,4,1,2
05MAY2022,MOC2,proton,3,4.01,5,4,1,0
05MAY2022,MOC2,proton,3,4.01,5,4,1,1
05MAY2022,MOC2,proton,3,4.01,5,4,2,0
05MAY2022,MOC2,proton,3,4.01,5,4,2,0
05MAY2022,MOC2,proton,3,4.01,5,4,1,0
05MAY2022,MOC2,proton,3,4.01,5,4,3,0
05MAY2022,MOC2,proton,3,4.01,5,4,2,0
05MAY2022,MOC2,proton,3,4.01,5,4,0,1
05MAY2022,MOC2,proton,3,4.01,5,4,2,0
05MAY2022,MOC2,proton,3,4.01,5,4,1,0
05MAY2022,MOC2,proton,3,4.01,5,4,1,1
05MAY2022,MOC2,proton,3,4.01,5,10,2,1
05MAY2022,MOC2,proton,3,4.01,5,10,3,1
05MAY2022,MOC2,proton,3,4.01,5,10,2,0
05MAY2022,MOC2,proton,3,4.01,5,10,2,1
05MAY2022,MOC2,proton,3,4.01,5,10,1,3
05MAY2022,MOC2,proton,3,4.01,5,10,2,0
05MAY2022,MOC2,proton,3,4.01,5,10,2,0
05MAY2022,MOC2,proton,3,4.01,5,10,1,0
05MAY2022,MOC2,proton,3,4.01,5,10,2,0
05MAY2022,MOC2,proton,3,4.01,5,10,2,0
05MAY2022,MOC2,proton,3,4.01,5,11,0,3
05MAY2022,MOC2,proton,3,4.01,5,11,2,2
05MAY2022,MOC2,proton,3,4.01,5,11,1,0
05MAY2022,MOC2,proton,3,4.01,5,11,3,1
05MAY2022,MOC2,proton,3,4.01,5,11,2,2
05MAY2022,MOC2,proton,3,4.01,5,11,1,0
05MAY2022,MOC2,proton,3,4.01,5,11,2,2
05MAY2022,MOC2,proton,3,4.01,5,11,1,0
05MAY2022,MOC2,proton,3,4.01,5,11,3,0
05MAY2022,MOC2,proton,3,4.01,5,11,3,0
05MAY2022,MOC2,proton,3,4.01,5,11,3,0
05MAY2022,MOC2,proton,3,4.01,5,11,2,2
05MAY2022,MOC2,proton,3,4.01,5,11,1,0
05MAY2022,MOC2,proton,3,4.01,5,8,1,0
05MAY2022,MOC2,proton,3,4.01,5,8,0,0
05MAY2022,MOC2,proton,3,4.01,5,8,0,7
05MAY2022,MOC2,proton,3,4.01,5,8,2,1
05MAY2022,MOC2,proton,3,4.01,5,8,2,2
05MAY2022,MOC2,proton,3,4.01,5,8,4,1
05MAY2022,MOC2,proton,3,4.01,5,8,1,1
05MAY2022,MOC2,proton,3,4.01,5,8,1,0
05MAY2022,MOC2,proton,3,4.01,5,9,0,1
05MAY2022,MOC2,proton,3,4.01,5,9,3,0
05MAY2022,MOC2,proton,3,4.01,5,9,2,0
05MAY2022,MOC2,proton,3,4.01,5,9,1,1
05MAY2022,MOC2,proton,3,4.01,5,9,1,0
05MAY2022,MOC2,proton,3,4.01,5,9,2,0
05MAY2022,MOC2,proton,3,4.01,5,9,2,1
05MAY2022,MOC2,proton,3,4.01,5,9,4,0
05MAY2022,MOC2,proton,3,4.01,5,9,3,0
05MAY2022,MOC2,proton,3,4.01,5,9,3,2
05MAY2022,MOC2,proton,3,4.01,5,9,3,0
05MAY2022,MOC2,proton,3,4.01,5,2,0,5
05MAY2022,MOC2,proton,3,4.01,5,2,2,0
05MAY2022,MOC2,proton,3,4.01,5,2,1,0
05MAY2022,MOC2,proton,3,4.01,5,2,1,0
05MAY2022,MOC2,proton,3,4.01,5,2,2,0
05MAY2022,MOC2,proton,3,4.01,5,2,1,3
05MAY2022,MOC2,proton,3,4.01,5,2,2,2
05MAY2022,MOC2,proton,3,4.01,5,2,1,3
05MAY2022,MOC2,proton,3,4.01,5,2,2,0
05MAY2022,MOC2,proton,3,4.01,5,2,0,1
05MAY2022,MOC2,proton,3,4.01,5,2,3,0
05MAY2022,MOC2,proton,3,4.01,5,2,2,1
05MAY2022,MOC2,proton,3,4.01,5,2,3,4
05MAY2022,MOC2,proton,3,4.01,5,3,1,0
05MAY2022,MOC2,proton,3,4.01,5,3,3,2
05MAY2022,MOC2,proton,3,4.01,5,3,1,0
05MAY2022,MOC2,proton,3,4.01,5,3,2,0
05MAY2022,MOC2,proton,3,4.01,5,3,1,0
05MAY2022,MOC2,proton,3,4.01,5,3,1,1
05MAY2022,MOC2,proton,3,4.01,5,3,4,0
05MAY2022,MOC2,proton,3,4.01,5,3,3,0
05MAY2022,MOC2,proton,3,4.01,5,3,2,0
05MAY2022,MOC2,proton,3,4.01,5,3,2,0
05MAY2022,MOC2,proton,3,4.01,5,3,3,1
05MAY2022,MOC2,proton,3,4.01,5,3,2,1
05MAY2022,MOC2,proton,3,4.01,5,3,2,0
05MAY2022,MOC2,proton,3,4.01,5,3,1,0
05MAY2022,MOC2,proton,3,4.01,5,6,2,0
05MAY2022,MOC2,proton,3,4.01,5,6,2,1
05MAY2022,MOC2,proton,3,4.01,5,6,2,0
05MAY2022,MOC2,proton,3,4.01,5,6,1,0
05MAY2022,MOC2,proton,3,4.01,5,6,1,1
05MAY2022,MOC2,proton,3,4.01,5,6,3,0
05MAY2022,MOC2,proton,3,4.01,5,6,1,0
05MAY2022,MOC2,proton,3,4.01,5,6,2,0
05MAY2022,MOC2,proton,3,4.01,5,6,2,1
05MAY2022,MOC2,proton,3,4.01,5,7,2,0
05MAY2022,MOC2,proton,3,4.01,5,7,1,3
05MAY2022,MOC2,proton,3,4.01,5,7,1,0
05MAY2022,MOC2,proton,3,4.01,5,7,0,0
05MAY2022,MOC2,proton,3,4.01,5,7,2,0
05MAY2022,MOC2,proton,3,4.01,5,7,3,1
05MAY2022,MOC2,proton,3,4.01,5,7,1,0
05MAY2022,MOC2,proton,3,4.01,5,7,1,0
05MAY2022,MOC2,proton,3,4.01,5,7,2,4
05MAY2022,MOC2,proton,3,4.01,5,7,0,6
05MAY2022,MOC2,proton,3,4.01,5,7,1,0
05MAY2022,MOC2,proton,3,4.01,5,7,0,1
05MAY2022,MOC2,proton,3,4.01,5,1,2,0
05MAY2022,MOC2,proton,3,4.01,5,1,1,1
05MAY2022,MOC2,proton,3,4.01,5,1,3,1
05MAY2022,MOC2,proton,3,4.01,5,1,3,0
05MAY2022,MOC2,proton,3,4.01,5,1,2,0
05MAY2022,MOC2,proton,2,4.58,1,5,0,1
05MAY2022,MOC2,proton,2,4.58,1,5,1,1
05MAY2022,MOC2,proton,2,4.58,1,5,1,1
05MAY2022,MOC2,proton,2,4.58,1,5,2,0
05MAY2022,MOC2,proton,2,4.58,1,5,5,3
05MAY2022,MOC2,proton,2,4.58,1,5,2,0
05MAY2022,MOC2,proton,2,4.58,1,5,2,0
05MAY2022,MOC2,proton,2,4.58,1,5,2,0
05MAY2022,MOC2,proton,2,4.58,1,5,1,1
05MAY2022,MOC2,proton,2,4.58,1,5,2,3
05MAY2022,MOC2,proton,2,4.58,1,5,4,0
05MAY2022,MOC2,proton,2,4.58,1,5,5,0
05MAY2022,MOC2,proton,2,4.58,1,5,1,1
05MAY2022,MOC2,proton,2,4.58,1,5,1,0
05MAY2022,MOC2,proton,2,4.58,1,5,1,0
05MAY2022,MOC2,proton,2,4.58,1,5,2,0
05MAY2022,MOC2,proton,2,4.58,1,5,2,0
05MAY2022,MOC2,proton,2,4.58,1,4,1,0
05MAY2022,MOC2,proton,2,4.58,1,4,0,1
05MAY2022,MOC2,proton,2,4.58,1,4,0,1
05MAY2022,MOC2,proton,2,4.58,1,4,1,0
05MAY2022,MOC2,proton,2,4.58,1,4,0,1
05MAY2022,MOC2,proton,2,4.58,1,4,0,2
05MAY2022,MOC2,proton,2,4.58,1,4,0,5
05MAY2022,MOC2,proton,2,4.58,1,4,1,0
05MAY2022,MOC2,proton,2,4.58,1,4,1,0
05MAY2022,MOC2,proton,2,4.58,1,4,2,0
05MAY2022,MOC2,proton,2,4.58,1,4,1,0
05MAY2022,MOC2,proton,2,4.58,1,4,2,0
05MAY2022,MOC2,proton,2,4.58,1,4,3,1
05MAY2022,MOC2,proton,2,4.58,1,4,3,0
05MAY2022,MOC2,proton,2,4.58,1,4,2,0
05MAY2022,MOC2,proton,2,4.58,1,4,1,0
05MAY2022,MOC2,proton,2,4.58,1,4,0,1
05MAY2022,MOC2,proton,2,4.58,1,4,4,0
05MAY2022,MOC2,proton,2,4.58,1,4,0,1
05MAY2022,MOC2,proton,2,4.58,1,4,1,0
05MAY2022,MOC2,proton,2,4.58,1,4,1,0
05MAY2022,MOC2,proton,2,4.58,1,10,1,0
05MAY2022,MOC2,proton,2,4.58,1,10,0,1
05MAY2022,MOC2,proton,2,4.58,1,10,2,4
05MAY2022,MOC2,proton,2,4.58,1,10,1,0
05MAY2022,MOC2,proton,2,4.58,1,10,1,2
05MAY2022,MOC2,proton,2,4.58,1,10,2,0
05MAY2022,MOC2,proton,2,4.58,1,10,1,6
05MAY2022,MOC2,proton,2,4.58,1,10,2,2
05MAY2022,MOC2,proton,2,4.58,1,10,1,2
05MAY2022,MOC2,proton,2,4.58,1,10,1,0
05MAY2022,MOC2,proton,2,4.58,1,10,2,1
05MAY2022,MOC2,proton,2,4.58,1,10,1,2
05MAY2022,MOC2,proton,2,4.58,1,10,1,0
05MAY2022,MOC2,proton,2,4.58,1,10,1,0
05MAY2022,MOC2,proton,2,4.58,1,10,0,1
05MAY2022,MOC2,proton,2,4.58,1,10,0,1
05MAY2022,MOC2,proton,2,4.58,1,10,0,1
05MAY2022,MOC2,proton,2,4.58,1,10,0,1
05MAY2022,MOC2,proton,2,4.58,1,10,0,1
05MAY2022,MOC2,proton,2,4.58,1,10,2,0
05MAY2022,MOC2,proton,2,4.58,1,11,0,1
05MAY2022,MOC2,proton,2,4.58,1,11,1,0
05MAY2022,MOC2,proton,2,4.58,1,11,1,0
05MAY2022,MOC2,proton,2,4.58,1,11,2,0
05MAY2022,MOC2,proton,2,4.58,1,11,1,2
05MAY2022,MOC2,proton,2,4.58,1,11,2,1
05MAY2022,MOC2,proton,2,4.58,1,11,2,0
05MAY2022,MOC2,proton,2,4.58,1,11,1,0
05MAY2022,MOC2,proton,2,4.58,1,11,1,0
05MAY2022,MOC2,proton,2,4.58,1,11,2,1
05MAY2022,MOC2,proton,2,4.58,1,11,1,0
05MAY2022,MOC2,proton,2,4.58,1,11,0,2
05MAY2022,MOC2,proton,2,4.58,1,11,1,0
05MAY2022,MOC2,proton,2,4.58,1,11,2,0
05MAY2022,MOC2,proton,2,4.58,1,11,1,0
05MAY2022,MOC2,proton,2,4.58,1,11,1,0
05MAY2022,MOC2,proton,2,4.58,1,11,1,0
05MAY2022,MOC2,proton,2,4.58,1,11,0,1
05MAY2022,MOC2,proton,2,4.58,1,8,2,1
05MAY2022,MOC2,proton,2,4.58,1,8,1,0
05MAY2022,MOC2,proton,2,4.58,1,8,1,0
05MAY2022,MOC2,proton,2,4.58,1,8,4,0
05MAY2022,MOC2,proton,2,4.58,1,8,2,0
05MAY2022,MOC2,proton,2,4.58,1,8,0,0
05MAY2022,MOC2,proton,2,4.58,1,8,1,0
05MAY2022,MOC2,proton,2,4.58,1,8,1,0
05MAY2022,MOC2,proton,2,4.58,1,8,6,2
05MAY2022,MOC2,proton,2,4.58,1,8,5,3
05MAY2022,MOC2,proton,2,4.58,1,8,1,1
05MAY2022,MOC2,proton,2,4.58,1,8,1,1
05MAY2022,MOC2,proton,2,4.58,1,9,1,0
05MAY2022,MOC2,proton,2,4.58,1,9,1,2
05MAY2022,MOC2,proton,2,4.58,1,9,1,1
05MAY2022,MOC2,proton,2,4.58,1,9,1,0
05MAY2022,MOC2,proton,2,4.58,1,9,1,0
05MAY2022,MOC2,proton,2,4.58,1,9,1,0
05MAY2022,MOC2,proton,2,4.58,1,9,0,4
05MAY2022,MOC2,proton,2,4.58,1,9,2,1
05MAY2022,MOC2,proton,2,4.58,1,9,2,0
05MAY2022,MOC2,proton,2,4.58,1,9,1,0
05MAY2022,MOC2,proton,2,4.58,1,9,1,0
