irradiation date,cell line,radiation type,sample_id,dose,position,image_nr,nuclei,micronuclei
06SEP2022,MOC2,proton,3,4.25,5,5,2,0
06SEP2022,MOC2,proton,3,4.25,5,5,1,1
06SEP2022,MOC2,proton,3,4.25,5,4,2,0
06SEP2022,MOC2,proton,3,4.25,5,10,1,0
06SEP2022,MOC2,proton,3,4.25,5,10,0,0
06SEP2022,MOC2,proton,3,4.25,5,8,2,2
06SEP2022,MOC2,proton,3,4.25,5,9,1,0
06SEP2022,MOC2,proton,3,4.25,5,9,1,0
06SEP2022,MOC2,proton,3,4.25,5,2,4,1
06SEP2022,MOC2,proton,3,4.25,5,2,4,1
06SEP2022,MOC2,proton,3,4.25,5,3,2,0
06SEP2022,MOC2,proton,3,4.25,5,3,0,0
06SEP2022,MOC2,proton,3,4.25,5,3,0,0
06SEP2022,MOC2,proton,3,4.25,5,6,3,0
06SEP2022,MOC2,proton,3,4.25,5,7,1,0
06SEP2022,MOC2,proton,3,4.25,5,7,0,0
06SEP2022,MOC2,proton,3,4.25,5,7,0,0
06SEP2022,MOC2,proton,3,4.25,5,14,0,0
06SEP2022,MOC2,proton,3,4.25,5,13,1,0
06SEP2022,MOC2,proton,3,4.25,5,13,0,0
06SEP2022,MOC2,proton,3,4.25,5,12,1,1
06SEP2022,MOC2,proton,3,7.98,5,4,2,0
06SEP2022,MOC2,proton,3,7.98,5,4,3,0
06SEP2022,MOC2,proton,3,7.98,5,4,1,0
06SEP2022,MOC2,proton,3,7.98,5,4,1,0
06SEP2022,MOC2,proton,3,7.98,5,10,1,0
06SEP2022,MOC2,proton,3,7.98,5,11,3,0
06SEP2022,MOC2,proton,3,7.98,5,9,2,0
06SEP2022,MOC2,proton,3,7.98,5,9,1,0
06SEP2022,MOC2,proton,3,7.98,5,9,3,0
06SEP2022,MOC2,proton,3,7.98,5,3,1,0
06SEP2022,MOC2,proton,3,7.98,5,1,1,0
06SEP2022,MOC2,proton,3,7.98,5,13,2,0
06SEP2022,MOC2,proton,3,7.98,5,12,2,0
06SEP2022,MOC2,proton,3,7.98,5,12,1,0
06SEP2022,MOC2,proton,2,8.17,5,16,0,0
06SEP2022,MOC2,proton,2,8.17,5,5,2,0
06SEP2022,MOC2,proton,2,8.17,5,10,1,0
06SEP2022,MOC2,proton,2,8.17,5,10,2,0
06SEP2022,MOC2,proton,2,8.17,5,11,3,1
06SEP2022,MOC2,proton,2,8.17,5,8,1,0
06SEP2022,MOC2,proton,2,8.17,5,9,1,0
06SEP2022,MOC2,proton,2,8.17,5,2,1,0
06SEP2022,MOC2,proton,2,8.17,5,2,1,1
06SEP2022,MOC2,proton,2,8.17,5,3,4,0
06SEP2022,MOC2,proton,2,8.17,5,6,2,0
06SEP2022,MOC2,proton,2,8.17,5,7,2,0
06SEP2022,MOC2,proton,2,8.17,5,15,1,0
06SEP2022,MOC2,proton,2,8.17,5,15,2,0
06SEP2022,MOC2,proton,2,8.17,5,1,8,0
06SEP2022,MOC2,proton,1,8.20,1,17,3,1
06SEP2022,MOC2,proton,1,8.20,1,16,4,1
06SEP2022,MOC2,proton,1,8.20,1,5,1,0
06SEP2022,MOC2,proton,1,8.20,1,10,1,0
06SEP2022,MOC2,proton,1,8.20,1,8,1,0
06SEP2022,MOC2,proton,1,8.20,1,9,3,0
06SEP2022,MOC2,proton,1,8.20,1,2,2,0
06SEP2022,MOC2,proton,1,8.20,1,3,3,0
06SEP2022,MOC2,proton,1,8.20,1,3,2,0
06SEP2022,MOC2,proton,1,8.20,1,6,5,0
06SEP2022,MOC2,proton,1,8.20,1,7,1,0
06SEP2022,MOC2,proton,1,8.20,1,14,2,0
06SEP2022,MOC2,proton,1,8.20,1,14,2,0
06SEP2022,MOC2,proton,1,8.20,1,15,1,0
06SEP2022,MOC2,proton,1,8.20,1,1,1,0
06SEP2022,MOC2,proton,1,8.20,1,18,1,0
06SEP2022,MOC2,proton,1,8.20,1,18,2,4
06SEP2022,MOC2,proton,1,8.20,1,13,2,0
06SEP2022,MOC2,proton,1,8.20,1,12,3,0
06SEP2022,MOC2,proton,1,3.84,1,5,5,0
06SEP2022,MOC2,proton,1,3.84,1,4,1,2
06SEP2022,MOC2,proton,1,3.84,1,4,0,1
06SEP2022,MOC2,proton,1,3.84,1,4,2,0
06SEP2022,MOC2,proton,1,3.84,1,11,2,0
06SEP2022,MOC2,proton,1,3.84,1,8,0,0
06SEP2022,MOC2,proton,1,3.84,1,8,0,0
06SEP2022,MOC2,proton,1,3.84,1,9,1,0
06SEP2022,MOC2,proton,1,3.84,1,9,3,0
06SEP2022,MOC2,proton,1,3.84,1,9,2,0
06SEP2022,MOC2,proton,1,3.84,1,2,1,0
06SEP2022,MOC2,proton,1,3.84,1,3,3,1
06SEP2022,MOC2,proton,1,3.84,1,7,2,0
06SEP2022,MOC2,proton,1,3.84,1,7,2,0
06SEP2022,MOC2,proton,1,3.84,1,1,3,0
06SEP2022,MOC2,proton,1,3.84,1,13,2,0
06SEP2022,MOC2,proton,1,3.84,1,12,2,2
06SEP2022,MOC2,proton,1,3.84,1,12,1,1
06SEP2022,MOC2,proton,2,7.82,1,17,0,0
06SEP2022,MOC2,proton,2,7.82,1,17,3,1
06SEP2022,MOC2,proton,2,7.82,1,17,1,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,5,2,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,5,0,0
06SEP2022,MOC2,proton,2,7.82,1,4,0,3
06SEP2022,MOC2,proton,2,7.82,1,4,1,0
06SEP2022,MOC2,proton,2,7.82,1,10,2,0
06SEP2022,MOC2,proton,2,7.82,1,11,1,0
06SEP2022,MOC2,proton,2,7.82,1,11,2,0
06SEP2022,MOC2,proton,2,7.82,1,11,2,0
06SEP2022,MOC2,proton,2,7.82,1,11,1,0
06SEP2022,MOC2,proton,2,7.82,1,11,2,0
06SEP2022,MOC2,proton,2,7.82,1,8,2,0
06SEP2022,MOC2,proton,2,7.82,1,9,0,0
06SEP2022,MOC2,proton,2,7.82,1,9,0,0
06SEP2022,MOC2,proton,2,7.82,1,9,0,0
06SEP2022,MOC2,proton,2,7.82,1,9,0,0
06SEP2022,MOC2,proton,2,7.82,1,9,0,0
06SEP2022,MOC2,proton,2,7.82,1,9,0,0
06SEP2022,MOC2,proton,2,7.82,1,9,1,0
06SEP2022,MOC2,proton,2,7.82,1,2,3,0
06SEP2022,MOC2,proton,2,7.82,1,3,0,0
06SEP2022,MOC2,proton,2,7.82,1,3,1,0
06SEP2022,MOC2,proton,2,7.82,1,7,1,0
06SEP2022,MOC2,proton,2,7.82,1,14,0,3
06SEP2022,MOC2,proton,2,7.82,1,14,0,0
06SEP2022,MOC2,proton,2,7.82,1,14,0,0
06SEP2022,MOC2,proton,2,7.82,1,14,0,0
06SEP2022,MOC2,proton,2,7.82,1,14,2,0
06SEP2022,MOC2,proton,2,7.82,1,14,0,0
06SEP2022,MOC2,proton,2,7.82,1,15,2,0
06SEP2022,MOC2,proton,2,7.82,1,1,3,0
06SEP2022,MOC2,proton,2,7.82,1,19,1,0
06SEP2022,MOC2,proton,2,7.82,1,19,1,0
06SEP2022,MOC2,proton,2,7.82,1,18,1,0
06SEP2022,MOC2,proton,2,7.82,1,18,1,1
06SEP2022,MOC2,proton,2,7.82,1,18,0,0
06SEP2022,MOC2,proton,2,7.82,1,18,1,0
06SEP2022,MOC2,proton,2,7.82,1,18,1,0
06SEP2022,MOC2,proton,2,7.82,1,13,4,0
06SEP2022,MOC2,proton,2,7.82,1,12,3,0
06SEP2022,MOC2,proton,2,3.91,5,16,2,0
06SEP2022,MOC2,proton,2,3.91,5,5,1,0
06SEP2022,MOC2,proton,2,3.91,5,4,4,0
06SEP2022,MOC2,proton,2,3.91,5,10,3,0
06SEP2022,MOC2,proton,2,3.91,5,10,0,0
06SEP2022,MOC2,proton,2,3.91,5,10,1,0
06SEP2022,MOC2,proton,2,3.91,5,10,1,0
06SEP2022,MOC2,proton,2,3.91,5,11,0,0
06SEP2022,MOC2,proton,2,3.91,5,11,0,1
06SEP2022,MOC2,proton,2,3.91,5,8,2,0
06SEP2022,MOC2,proton,2,3.91,5,9,2,0
06SEP2022,MOC2,proton,2,3.91,5,6,2,0
06SEP2022,MOC2,proton,2,3.91,5,6,0,0
06SEP2022,MOC2,proton,2,3.91,5,7,5,0
06SEP2022,MOC2,proton,2,3.91,5,14,1,0
06SEP2022,MOC2,proton,2,3.91,5,1,4,0
06SEP2022,MOC2,proton,2,3.91,5,13,1,0
06SEP2022,MOC2,proton,2,3.91,5,13,2,0
06SEP2022,MOC2,proton,2,3.91,5,12,2,0
06SEP2022,MOC2,proton,1,0,NA,16,7,8
06SEP2022,MOC2,proton,1,0,NA,16,1,0
06SEP2022,MOC2,proton,1,0,NA,28,3,0
06SEP2022,MOC2,proton,1,0,NA,28,2,0
06SEP2022,MOC2,proton,1,0,NA,28,2,0
06SEP2022,MOC2,proton,1,0,NA,5,1,0
06SEP2022,MOC2,proton,1,0,NA,5,4,0
06SEP2022,MOC2,proton,1,0,NA,5,1,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,2,1
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,4,0,0
06SEP2022,MOC2,proton,1,0,NA,23,3,0
06SEP2022,MOC2,proton,1,0,NA,22,4,0
06SEP2022,MOC2,proton,1,0,NA,10,4,0
06SEP2022,MOC2,proton,1,0,NA,10,2,1
06SEP2022,MOC2,proton,1,0,NA,10,5,0
06SEP2022,MOC2,proton,1,0,NA,10,5,7
06SEP2022,MOC2,proton,1,0,NA,8,1,0
06SEP2022,MOC2,proton,1,0,NA,9,6,0
06SEP2022,MOC2,proton,1,0,NA,2,1,0
06SEP2022,MOC2,proton,1,0,NA,2,2,0
06SEP2022,MOC2,proton,1,0,NA,24,0,0
06SEP2022,MOC2,proton,1,0,NA,24,0,0
06SEP2022,MOC2,proton,1,0,NA,24,1,1
06SEP2022,MOC2,proton,1,0,NA,24,0,0
06SEP2022,MOC2,proton,1,0,NA,24,0,0
06SEP2022,MOC2,proton,1,0,NA,25,0,0
06SEP2022,MOC2,proton,1,0,NA,25,2,0
06SEP2022,MOC2,proton,1,0,NA,6,3,2
06SEP2022,MOC2,proton,1,0,NA,7,2,0
06SEP2022,MOC2,proton,1,0,NA,20,4,1
06SEP2022,MOC2,proton,1,0,NA,21,2,1
06SEP2022,MOC2,proton,1,0,NA,21,4,0
06SEP2022,MOC2,proton,1,0,NA,14,3,0
06SEP2022,MOC2,proton,1,0,NA,14,1,1
06SEP2022,MOC2,proton,1,0,NA,15,2,1
06SEP2022,MOC2,proton,1,0,NA,15,1,0
06SEP2022,MOC2,proton,1,0,NA,1,2,0
06SEP2022,MOC2,proton,1,0,NA,1,3,0
06SEP2022,MOC2,proton,1,0,NA,1,6,0
06SEP2022,MOC2,proton,1,0,NA,19,0,0
06SEP2022,MOC2,proton,1,0,NA,19,0,0
06SEP2022,MOC2,proton,1,0,NA,18,2,0
06SEP2022,MOC2,proton,1,0,NA,18,3,0
06SEP2022,MOC2,proton,1,0,NA,27,1,1
06SEP2022,MOC2,proton,1,0,NA,26,0,0
06SEP2022,MOC2,proton,1,0,NA,26,0,0
06SEP2022,MOC2,proton,1,0,NA,26,0,0
06SEP2022,MOC2,proton,1,0,NA,26,0,0
06SEP2022,MOC2,proton,1,0,NA,26,0,0
06SEP2022,MOC2,proton,1,0,NA,26,0,0
06SEP2022,MOC2,proton,1,0,NA,26,0,0
