irradiation date,cell line,radiation type,sample_id,dose,image_nr,nuclei,micronuclei
19SEP2022,MOC2,xray,3,8,5,1,0
19SEP2022,MOC2,xray,3,8,5,3,0
19SEP2022,MOC2,xray,3,8,5,5,2
19SEP2022,MOC2,xray,3,8,5,4,1
19SEP2022,MOC2,xray,3,8,5,6,2
19SEP2022,MOC2,xray,3,8,4,7,2
19SEP2022,MOC2,xray,3,8,4,4,5
19SEP2022,MOC2,xray,3,8,4,1,0
19SEP2022,MOC2,xray,3,8,4,1,0
19SEP2022,MOC2,xray,3,8,4,0,0
19SEP2022,MOC2,xray,3,8,10,4,1
19SEP2022,MOC2,xray,3,8,10,2,0
19SEP2022,MOC2,xray,3,8,11,1,0
19SEP2022,MOC2,xray,3,8,11,1,0
19SEP2022,MOC2,xray,3,8,8,2,0
19SEP2022,MOC2,xray,3,8,8,2,0
19SEP2022,MOC2,xray,3,8,9,2,0
19SEP2022,MOC2,xray,3,8,9,1,0
19SEP2022,MOC2,xray,3,8,2,2,1
19SEP2022,MOC2,xray,3,8,2,1,1
19SEP2022,MOC2,xray,3,8,3,1,0
19SEP2022,MOC2,xray,3,8,3,2,0
19SEP2022,MOC2,xray,3,8,6,3,1
19SEP2022,MOC2,xray,3,8,6,1,0
19SEP2022,MOC2,xray,3,8,7,1,0
19SEP2022,MOC2,xray,3,8,14,8,0
19SEP2022,MOC2,xray,3,8,15,2,0
19SEP2022,MOC2,xray,3,8,15,1,0
19SEP2022,MOC2,xray,3,8,15,1,0
19SEP2022,MOC2,xray,3,8,15,3,0
19SEP2022,MOC2,xray,3,8,1,1,0
19SEP2022,MOC2,xray,3,8,13,4,1
19SEP2022,MOC2,xray,3,8,13,5,0
19SEP2022,MOC2,xray,3,8,12,2,0
19SEP2022,MOC2,xray,3,8,12,1,0
19SEP2022,MOC2,xray,2,8,5,1,1
19SEP2022,MOC2,xray,2,8,4,1,0
19SEP2022,MOC2,xray,2,8,4,1,0
19SEP2022,MOC2,xray,2,8,4,2,0
19SEP2022,MOC2,xray,2,8,2,2,1
19SEP2022,MOC2,xray,2,8,2,0,0
19SEP2022,MOC2,xray,2,8,3,3,0
19SEP2022,MOC2,xray,2,8,3,1,0
19SEP2022,MOC2,xray,2,8,3,1,0
19SEP2022,MOC2,xray,2,8,3,3,0
19SEP2022,MOC2,xray,2,8,6,3,1
19SEP2022,MOC2,xray,2,8,6,2,0
19SEP2022,MOC2,xray,2,8,6,1,0
19SEP2022,MOC2,xray,2,8,6,1,0
19SEP2022,MOC2,xray,2,8,7,3,0
19SEP2022,MOC2,xray,2,8,1,1,0
19SEP2022,MOC2,xray,2,8,1,2,0
19SEP2022,MOC2,xray,2,8,1,2,0
19SEP2022,MOC2,xray,1,4,5,2,0
19SEP2022,MOC2,xray,1,4,4,2,1
19SEP2022,MOC2,xray,1,4,10,1,0
19SEP2022,MOC2,xray,1,4,10,1,0
19SEP2022,MOC2,xray,1,4,8,3,1
19SEP2022,MOC2,xray,1,4,8,2,1
19SEP2022,MOC2,xray,1,4,8,3,1
19SEP2022,MOC2,xray,1,4,8,3,3
19SEP2022,MOC2,xray,1,4,8,4,0
19SEP2022,MOC2,xray,1,4,9,1,1
19SEP2022,MOC2,xray,1,4,2,7,0
19SEP2022,MOC2,xray,1,4,3,2,0
19SEP2022,MOC2,xray,1,4,3,1,0
19SEP2022,MOC2,xray,1,4,3,2,0
19SEP2022,MOC2,xray,1,4,6,6,2
19SEP2022,MOC2,xray,1,4,6,1,0
19SEP2022,MOC2,xray,1,4,6,2,0
19SEP2022,MOC2,xray,1,4,6,2,0
19SEP2022,MOC2,xray,1,4,6,1,1
19SEP2022,MOC2,xray,1,4,1,11,2
19SEP2022,MOC2,xray,1,0,5,20,4
19SEP2022,MOC2,xray,1,0,4,5,2
19SEP2022,MOC2,xray,1,0,4,5,2
19SEP2022,MOC2,xray,1,0,10,1,2
19SEP2022,MOC2,xray,1,0,10,1,1
19SEP2022,MOC2,xray,1,0,10,1,0
19SEP2022,MOC2,xray,1,0,8,4,0
19SEP2022,MOC2,xray,1,0,8,4,0
19SEP2022,MOC2,xray,1,0,9,3,0
19SEP2022,MOC2,xray,1,0,9,6,1
19SEP2022,MOC2,xray,1,0,2,1,0
19SEP2022,MOC2,xray,1,0,2,6,2
19SEP2022,MOC2,xray,1,0,3,10,1
19SEP2022,MOC2,xray,1,0,6,1,1
19SEP2022,MOC2,xray,1,0,7,10,0
19SEP2022,MOC2,xray,1,0,14,1,2
19SEP2022,MOC2,xray,1,0,14,1,4
19SEP2022,MOC2,xray,1,0,14,2,4
19SEP2022,MOC2,xray,1,0,14,1,4
19SEP2022,MOC2,xray,1,0,14,1,0
19SEP2022,MOC2,xray,1,0,14,3,1
19SEP2022,MOC2,xray,1,0,14,2,1
19SEP2022,MOC2,xray,1,0,14,2,2
19SEP2022,MOC2,xray,1,0,14,2,4
